own_it,card_number,card_name,rarity,exclusive_pack,type,hp,stage,pack_points,retreat_cost__effect,how_to_get
,A1 001,Bulbasaur,◇,Genetic Apex (A1)Mewtwo,Grass,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Vine Whip"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""40""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1a 063,Old Amber,◇,Mythical Island (A1a)Mew,Item,N/A,N/A,35  Pts,"Play this card as if it were a 40-HP Basic Colorless Pokemon. At any time during your turn, you may discard this card from play. This card can't retreat.",Open Mythical Island (A1a) Mew packs
,A1a 064,Pokemon Flute,◇◇,Mythical Island (A1a)Mew,Item,N/A,N/A,70  Pts,Put a Basic Pokemon from your opponent's discard pile onto their Bench.,Open Mythical Island (A1a) Mew packs
,A1a 065,Mythical Slab,◇◇,Mythical Island (A1a)Mew,Item,N/A,N/A,70  Pts,"Look at the top card of your deck. If that card is a Psychic Pokemon, put it in your hand. If it is not a Psychic Pokemon, put it on the bottom of your deck.",Open Mythical Island (A1a) Mew packs
,A1a 066,Budding Expeditioner,◇◇,Mythical Island (A1a)Mew,Supporter,N/A,N/A,70  Pts,Put your Mew ex in the Active Spot into your hand.,Open Mythical Island (A1a) Mew packs
,A1a 067,Blue,◇◇,Mythical Island (A1a)Mew,Supporter,N/A,N/A,70  Pts,"During your opponent's next turn, all of your Pokemon take -10 damage from attacks from your opponent's Pokemon.",Open Mythical Island (A1a) Mew packs
,A1a 068,Leaf,◇◇,Mythical Island (A1a)Mew,Supporter,N/A,N/A,70  Pts,"During this turn, the Retreat Cost of your Active Pokemon is 2 less.",Open Mythical Island (A1a) Mew packs
,A1a 069,Exeggutor,☆,Mythical Island (A1a)Mew,Grass,130,Stage 1,400  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Psychic"", ""img_alts"": [""Grass"", ""Colorless 3""], ""description"": ""80+ This attack does 20 more damage for each Energy attached to your opponent's Active Pokemon.""}]}",Open Mythical Island (A1a) Mew packs
,A1a 070,Serperior,☆,Mythical Island (A1a)Mew,Grass,110,Stage 2,400  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": ""Jungle Totem"", ""ability_text"": ""Jungle Totem Each Grass Energy attached to your Grass Pokemon provides 2 Grass Energy. This effect doesn't stack."", ""attacks"": [{""name"": ""Solar Beam"", ""img_alts"": [""Grass"", ""Colorless 3""], ""description"": ""70""}]}",Open Mythical Island (A1a) Mew packs
,A1a 071,Salandit,☆,Mythical Island (A1a)Mew,Fire,60,Basic,400  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Venoshock"", ""img_alts"": [""Colorless""], ""description"": ""10+ If your opponent's Active Pokemon is Poisoned, this attack does 40 more damage.""}]}",Open Mythical Island (A1a) Mew packs
,A1a 072,Vaporeon,☆,Mythical Island (A1a)Mew,Water,120,Stage 1,400  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": ""Wash Out"", ""ability_text"": ""Wash Out As often as you like during your turn, you may move a Water Energy from 1 of your Benched Water Pokemon to your Active Water Pokemon."", ""attacks"": [{""name"": ""Wave Splash"", ""img_alts"": [""Water"", ""Colorless 2""], ""description"": ""60""}]}",Open Mythical Island (A1a) Mew packs
,A1a 073,Dedenne,☆,Mythical Island (A1a)Mew,Lightning,60,Basic,400  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Thunder Shock"", ""img_alts"": [""Lightning""], ""description"": ""10 Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.""}]}",Open Mythical Island (A1a) Mew packs
,A1a 074,Marshadow,☆,Mythical Island (A1a)Mew,Fighting,80,Basic,400  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Revenge"", ""img_alts"": [""Fighting"", ""Colorless""], ""description"": ""40+ If any of your Pokemon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 60 more damage.""}]}",Open Mythical Island (A1a) Mew packs
,A1a 075,Celebi ex,☆☆,Mythical Island (A1a)Mew,Grass,130,Basic,1250  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Powerful Bloom"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""50x Flip a coin for each Energy attached to this Pokemon. This attack does 50 damage for each heads.""}]}",Open Mythical Island (A1a) Mew packs
,A1a 076,Gyarados ex,☆☆,Mythical Island (A1a)Mew,Water,180,Stage 1,1250  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Rampaging Whirlpool"", ""img_alts"": [""Water 3"", ""Colorless""], ""description"": ""140 Discard a random Energy from among the Energy attached to all Pokemon (both yours and your opponent's).""}]}",Open Mythical Island (A1a) Mew packs
,A1a 077,Mew ex,☆☆,Mythical Island (A1a)Mew,Psychic,130,Basic,1250  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Psyshot"", ""img_alts"": [""Psychic""], ""description"": ""20""}, {""name"": ""Genome Hacking"", ""img_alts"": [""Colorless 3""], ""description"": ""Choose 1 of your opponent's Active Pokemon's attacks and use it as this attack.""}]}",Open Mythical Island (A1a) Mew packs
,A1a 078,Aerodactyl ex,☆☆,Mythical Island (A1a)Mew,Fighting,130,Stage 1,1250  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": ""Primeval Law"", ""ability_text"": ""Primeval Law Your opponent can't play any Pokemon from their hand to evolve their Active Pokemon."", ""attacks"": [{""name"": ""Land Crush"", ""img_alts"": [""Fighting"", ""Colorless""], ""description"": ""80""}]}",Open Mythical Island (A1a) Mew packs
,A1a 079,Pidgeot ex,☆☆,Mythical Island (A1a)Mew,Colorless,170,Stage 2,1250  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Scattering Cyclone"", ""img_alts"": [""Colorless 3""], ""description"": ""80+ This attack does 20 more damage for each of your opponent's Benched Pokemon.""}]}",Open Mythical Island (A1a) Mew packs
,A1a 080,Budding Expeditioner,☆☆,Mythical Island (A1a)Mew,Supporter,N/A,N/A,1250  Pts,Put your Mew ex in the Active Spot into your hand.,Open Mythical Island (A1a) Mew packs
,A1a 081,Blue,☆☆,Mythical Island (A1a)Mew,Supporter,N/A,N/A,1250  Pts,"During your opponent's next turn, all of your Pokemon take -10 damage from attacks from your opponent's Pokemon.",Open Mythical Island (A1a) Mew packs
,A1a 082,Leaf,☆☆,Mythical Island (A1a)Mew,Supporter,N/A,N/A,1250  Pts,"During this turn, the Retreat Cost of your Active Pokemon is 2 less.",Open Mythical Island (A1a) Mew packs
,A1a 083,Mew ex,☆☆,Mythical Island (A1a)Mew,Psychic,130,Basic,1250  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Psyshot"", ""img_alts"": [""Psychic""], ""description"": ""20""}, {""name"": ""Genome Hacking"", ""img_alts"": [""Colorless 3""], ""description"": ""Choose 1 of your opponent's Active Pokemon's attacks and use it as this attack.""}]}",Open Mythical Island (A1a) Mew packs
,A1a 084,Aerodactyl ex,☆☆,Mythical Island (A1a)Mew,Fighting,130,Stage 1,1250  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": ""Primeval Law"", ""ability_text"": ""Primeval Law Your opponent can't play any Pokemon from their hand to evolve their Active Pokemon."", ""attacks"": [{""name"": ""Land Crush"", ""img_alts"": [""Fighting"", ""Colorless""], ""description"": ""80""}]}",Open Mythical Island (A1a) Mew packs
,A1a 085,Celebi ex,☆☆☆,Mythical Island (A1a)Mew,Grass,130,Basic,1500  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Powerful Bloom"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""50x Flip a coin for each Energy attached to this Pokemon. This attack does 50 damage for each heads.""}]}",Open Mythical Island (A1a) Mew packs
,A1a 086,Mew ex,♛,Mythical Island (A1a)Mew,Psychic,130,Basic,2500  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Psyshot"", ""img_alts"": [""Psychic""], ""description"": ""20""}, {""name"": ""Genome Hacking"", ""img_alts"": [""Colorless 3""], ""description"": ""Choose 1 of your opponent's Active Pokemon's attacks and use it as this attack.""}]}",Open Mythical Island (A1a) Mew packs
,A2 001,Oddish,◇,Space-Time Smackdown (A2)Any (Space-Time Smackdown),Grass,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Blot"", ""img_alts"": [""Grass""], ""description"": ""10 Heal 10 damage from this Pokemon.""}]}",Open either Space-Time Smackdown (A2) Dialga or Palkia packs
,A2 002,Gloom,◇,Space-Time Smackdown (A2)Any (Space-Time Smackdown),Grass,80,Stage 1,35  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Razor Leaf"", ""img_alts"": [""Grass""], ""description"": ""30""}]}",Open either Space-Time Smackdown (A2) Dialga or Palkia packs
,A2 003,Bellossom,◇◇,Space-Time Smackdown (A2)Any (Space-Time Smackdown),Grass,130,Stage 2,70  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Leaf Step"", ""img_alts"": [""Grass 2""], ""description"": ""80""}]}",Open either Space-Time Smackdown (A2) Dialga or Palkia packs
,A2 004,Tangela,◇,Space-Time Smackdown (A2)Dialga,Grass,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Vine Whip"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""30""}]}",Open Space-Time Smackdown (A2) Dialga packs
,A2 005,Tangrowth,◇◇,Space-Time Smackdown (A2)Dialga,Grass,130,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Mega Drain"", ""img_alts"": [""Grass 3"", ""Colorless""], ""description"": ""90 Heal 30 damage from this Pokemon.""}]}",Open Space-Time Smackdown (A2) Dialga packs
,A2 006,Yanma,◇,Space-Time Smackdown (A2)Dialga,Grass,50,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Flap"", ""img_alts"": [""Colorless""], ""description"": ""20""}]}",Open Space-Time Smackdown (A2) Dialga packs
,A2 007,Yanmega ex,◇◇◇◇,Space-Time Smackdown (A2)Dialga,Grass,140,Stage 1,500  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Air Slash"", ""img_alts"": [""Colorless 3""], ""description"": ""120 Discard a random Energy from this Pokemon.""}]}",Open Space-Time Smackdown (A2) Dialga packs
,A2 008,Roselia,◇,Space-Time Smackdown (A2)Any (Space-Time Smackdown),Grass,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Sting"", ""img_alts"": [""Grass""], ""description"": ""20""}]}",Open either Space-Time Smackdown (A2) Dialga or Palkia packs
,A2 009,Roserade,◇◇,Space-Time Smackdown (A2)Any (Space-Time Smackdown),Grass,100,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Poisonous Whip"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""50 Your opponent's Active Pokemon is now Poisoned.""}]}",Open either Space-Time Smackdown (A2) Dialga or Palkia packs
,A2 010,Turtwig,◇,Space-Time Smackdown (A2)Palkia,Grass,80,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Bite"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""30""}]}",Open Space-Time Smackdown (A2) Palkia packs
,A2 011,Grotle,◇◇,Space-Time Smackdown (A2)Palkia,Grass,100,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Razor Leaf"", ""img_alts"": [""Grass 2"", ""Colorless""], ""description"": ""60""}]}",Open Space-Time Smackdown (A2) Palkia packs
,A2 012,Torterra,◇◇◇,Space-Time Smackdown (A2)Palkia,Grass,160,Stage 2,150  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Frenzy Plant"", ""img_alts"": [""Grass 2"", ""Colorless 2""], ""description"": ""150 During your next turn, this Pokemon can't use Frenzy Plant.""}]}",Open Space-Time Smackdown (A2) Palkia packs
,A2 013,Kricketot,◇,Space-Time Smackdown (A2)Palkia,Grass,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Bug Bite"", ""img_alts"": [""Grass""], ""description"": ""20""}]}",Open Space-Time Smackdown (A2) Palkia packs
,A2 014,Kricketune,◇,Space-Time Smackdown (A2)Palkia,Grass,90,Stage 1,35  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Entrancing Melody"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""50 Your opponent's active Pokemon is now Confused.""}]}",Open Space-Time Smackdown (A2) Palkia packs
,A2 015,Burmy,◇,Space-Time Smackdown (A2)Any (Space-Time Smackdown),Grass,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Tackle"", ""img_alts"": [""Colorless""], ""description"": ""10""}]}",Open either Space-Time Smackdown (A2) Dialga or Palkia packs
,A2 016,Wormadam,◇,Space-Time Smackdown (A2)Any (Space-Time Smackdown),Grass,120,Stage 1,35  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Leaf Cutter"", ""img_alts"": [""Grass"", ""Colorless 2""], ""description"": ""60+ Flip a coin. If heads, this attack does 30 more damage.""}]}",Open either Space-Time Smackdown (A2) Dialga or Palkia packs
,A2 017,Combee,◇,Space-Time Smackdown (A2)Dialga,Grass,50,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Call for Family"", ""img_alts"": [""Colorless""], ""description"": ""Put 1 random Basic Pokemon from your deck onto your Bench.""}]}",Open Space-Time Smackdown (A2) Dialga packs
,A2 018,Vespiquen,◇◇,Space-Time Smackdown (A2)Dialga,Grass,100,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Pierce"", ""img_alts"": [""Grass 2""], ""description"": ""70""}]}",Open Space-Time Smackdown (A2) Dialga packs
,A2 019,Carnivine,◇◇,Space-Time Smackdown (A2)Palkia,Grass,90,Basic,70  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Flog"", ""img_alts"": [""Grass 2"", ""Colorless""], ""description"": ""40+ Flip a coin. If heads, this attack does 50 more damage.""}]}",Open Space-Time Smackdown (A2) Palkia packs
,A2 020,Leafeon,◇◇◇,Space-Time Smackdown (A2)Dialga,Grass,90,Stage 1,150  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Leafy Cyclone"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""90 During your next turn, this Pokémon can’t attack.""}]}",Open Space-Time Smackdown (A2) Dialga packs
,A2 021,Mow Rotom,◇,Space-Time Smackdown (A2)Any (Space-Time Smackdown),Grass,80,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Energy Cutoff"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""30 Flip a coin. If heads, discard a random Energy from your opponent’s Active Pokémon.""}]}",Open either Space-Time Smackdown (A2) Dialga or Palkia packs
,A2 022,Shaymin,◇◇◇,Space-Time Smackdown (A2)Dialga,Grass,60,Basic,150  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": ""Fragrant Flower Garden"", ""ability_text"": ""Fragrant Flower Garden Once during your turn, you may heal 10 damage from each of your Pokémon."", ""attacks"": [{""name"": ""Flop"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""30 Once during your turn, you may heal 10 damage from each of your Pokémon.""}]}",Open Space-Time Smackdown (A2) Dialga packs
,A2 023,Magmar,◇,Space-Time Smackdown (A2)Palkia,Fire,80,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Stoke"", ""img_alts"": [""Fire""], ""description"": ""Take a Fire Energy from your Energy Zone and attatch it to this Pokemon.""}]}",Open Space-Time Smackdown (A2) Palkia packs
,A2 024,Magmortar,◇◇◇,Space-Time Smackdown (A2)Palkia,Fire,130,Stage 1,150  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Bursting Inferno"", ""img_alts"": [""Fire 4""], ""description"": ""100 Your opponent's Active Pokemon is now Burned.""}]}",Open Space-Time Smackdown (A2) Palkia packs
,A2 025,Slugma,◇,Space-Time Smackdown (A2)Any (Space-Time Smackdown),Fire,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Flare"", ""img_alts"": [""Fire""], ""description"": ""20""}]}",Open either Space-Time Smackdown (A2) Dialga or Palkia packs
,A2 026,Magcargo,◇◇,Space-Time Smackdown (A2)Any (Space-Time Smackdown),Fire,120,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Searing Flame"", ""img_alts"": [""Fire"", ""Colorless""], ""description"": ""20 Your opponent's Active Pokemon is now Burned.""}]}",Open either Space-Time Smackdown (A2) Dialga or Palkia packs
,A2 027,Chimchar,◇,Space-Time Smackdown (A2)Palkia,Fire,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Scratch"", ""img_alts"": [""Fire""], ""description"": ""20""}]}",Open Space-Time Smackdown (A2) Palkia packs
,A2 028,Monferno,◇◇,Space-Time Smackdown (A2)Palkia,Fire,80,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Fiery Punch"", ""img_alts"": [""Fire""], ""description"": ""30""}]}",Open Space-Time Smackdown (A2) Palkia packs
